school_id,school_name,jersey,name,position,bats,throws,height,weight,class_year,hometown,high_school,previous_school,profile_url,headshot_url
utah,Utah,22,Payton Riske,RHP,R,R,5' 11'',160,R-Jr.,"Las Vegas, Nev.",Bishop Gorman HS,,https://utahutes.com/sports/baseball/roster/payton-riske/17038,headshots/utah_payton-riske.jpg
utah,Utah,24,Luke Jacobs,OF,L,R,6' 0'',192,Jr.,"Centerville, Utah",Viewmont HS,Salt Lake CC,https://utahutes.com/sports/baseball/roster/luke-jacobs/17096,headshots/utah_luke-jacobs.jpg
utah,Utah,25,Cal Miller,INF,L,R,5' 11'',205,Fr.,"Centerville, Utah",Viewmont HS,,https://utahutes.com/sports/baseball/roster/cal-miller/17104,headshots/utah_cal-miller.jpg
utah,Utah,26,Derek Smith,C,R,R,6' 3'',215,Sr.,"Scottsdale, Ariz.",Horizon HS,College of Southern Nevada,https://utahutes.com/sports/baseball/roster/derek-smith/17039,headshots/utah_derek-smith.jpg
utah,Utah,27,Anson McGorman,RHP,R,R,6' 2'',205,R-Jr.,"Parksville, British Columbia",Vauxhall Academy,,https://utahutes.com/sports/baseball/roster/anson-mcgorman/17035,headshots/utah_anson-mcgorman.jpg
utah,Utah,28,Ian Culver,RHP,R,R,6' 0'',210,Sr.,"St. Paul, Minn.",Roseville Area HS,Iowa Central CC,https://utahutes.com/sports/baseball/roster/ian-culver/17021,headshots/utah_ian-culver.jpg
utah,Utah,30,Landon Salvesen,LHP,L,L,6' 2'',205,Jr.,"Hooper, Utah",Fremont HS,Utah State Eastern,https://utahutes.com/sports/baseball/roster/landon-salvesen/17107,headshots/utah_landon-salvesen.jpg
utah,Utah,31,Ashton Graff-Rowe,INF,R,R,6' 0'',190,Jr.,"Waterloo, Ont.",Laurel Heights Secondary School,Crowder College,https://utahutes.com/sports/baseball/roster/ashton-graffrowe/17102,headshots/utah_ashton-graff-rowe.jpg
utah,Utah,32,Blake Eckerle,C,L,R,6' 1'',205,Fr.,"Hugo, Minn.",White Bear Lake Area HS,,https://utahutes.com/sports/baseball/roster/blake-eckerle/17093,headshots/utah_blake-eckerle.jpg
utah,Utah,33,Easton Jones,RHP,R,R,6' 3'',195,So.,"Pine Canyon, Utah",Stansbury HS,,https://utahutes.com/sports/baseball/roster/easton-jones/17029,headshots/utah_easton-jones.jpg
utah,Utah,34,Malik Harris,RHP,R,R,6' 6'',235,Jr.,"Draper, Utah",Juan Diego Catholic HS,Memphis,https://utahutes.com/sports/baseball/roster/malik-harris/17046,headshots/utah_malik-harris.jpg
utah,Utah,35,Dylan Gazaway,RHP,R,R,6' 4'',200,Sr.,"Orem, Utah",Timpanogos HS,Lane CC,https://utahutes.com/sports/baseball/roster/dylan-gazaway/17026,headshots/utah_dylan-gazaway.jpg
utah,Utah,36,Sammy Cova,LHP,L,L,6' 2'',200,Jr.,"Rancho Santa Margarita, Calif.",Santa Margarita Catholic HS,Saddleback CC,https://utahutes.com/sports/baseball/roster/sammy-cova/17100,headshots/utah_sammy-cova.jpg
utah,Utah,38,Dillon Fine,RHP,R,R,6' 3'',190,So.,"Caldwell, Idaho",Homedale HS,,https://utahutes.com/sports/baseball/roster/dillon-fine/17024,headshots/utah_dillon-fine.jpg
utah,Utah,39,Seth Graham-Pippin,RHP,R,R,6' 1'',185,Jr.,"Las Vegas, Nev.",Desert Oasis HS,College of Southern Nevada,https://utahutes.com/sports/baseball/roster/seth-grahampippin/17106,headshots/utah_seth-graham-pippin.jpg
utah,Utah,40,Chance Covert II,LHP,L,L,6' 2'',200,R-Fr.,"Austin, Texas",Westlake HS,Texas,https://utahutes.com/sports/baseball/roster/chance-covert-ii/17099,headshots/utah_chance-covert-ii.jpg
utah,Utah,53,Jet Gilliam,OF,R,R,6' 0'',176,Jr.,"Henderson, Nev.",Desert Oasis HS,NC State,https://utahutes.com/sports/baseball/roster/jet-gilliam/17044,headshots/utah_jet-gilliam.jpg
byu,BYU,2,Keoni Painter,Outfielder,L,L,5-11,,RS-Junior,"Kula, Hawaii",Kamehameha Schools Maui,,https://byucougars.com/sports/baseball/roster/player/keoni-painter,
byu,BYU,3,Crew McChesney,Outfielder,L,R,6-0,,Junior,"Highland, Utah",Lone Peak High School,,https://byucougars.com/sports/baseball/roster/player/crew-mcchesney,
byu,BYU,4,Patrick Graham,Infielder,,,5-11,,Senior,"Naperville, Illinois",Penn State,,https://byucougars.com/sports/baseball/roster/player/patrick-graham,
byu,BYU,5,Ryker Schow,Outfielder/Infielder,R,R,6-0,,Sophomore,"Pleasant Grove, Utah",Pleasant Grove High School,,https://byucougars.com/sports/baseball/roster/player/ryker-schow,
byu,BYU,6,Austin Park,Infielder/Outfielder,,,6-1,,Freshman,"Mona, Utah",Juab High School,,https://byucougars.com/sports/baseball/roster/player/austin-park,
byu,BYU,8,Ryder Robinson,Infielder,S,R,6-2,,Junior,"American Fork, Utah",TCU,,https://byucougars.com/sports/baseball/roster/player/ryder-robinson,
byu,BYU,9,Payton Gubler,Right Hand Pitcher,,,5-10,,RS-Junior,"St. George, Utah",Desert Hills High School,,https://byucougars.com/sports/baseball/roster/player/payton-gubler,
byu,BYU,10,Parker Goff,Catcher,R,R,5-11,,Senior,"Herriman, Utah",Riverton High School,,https://byucougars.com/sports/baseball/roster/player/parker-goff,
byu,BYU,11,Luke Anderson,Outfielder/Infielder,R,R,5-10,,Senior,"Santa Clara, Utah",Snow Canyon High School,,https://byucougars.com/sports/baseball/roster/player/luke-anderson,
byu,BYU,12,Matt Hansen,Infielder,L,R,6-1,,Sophomore,"Colorado Springs, Colorado",Huntington Beach High School,,https://byucougars.com/sports/baseball/roster/player/matt-hansen,
byu,BYU,13,Bryker Hurdsman,Outfielder,R,R,6-4,,Senior,"St. George, Utah",Utah Tech,,https://byucougars.com/sports/baseball/roster/player/bryker-hurdsman,
byu,BYU,14,Sam Hart,Right Hand Pitcher,,,6-0,,Graduate,"Highlands Ranch, Colorado",University of Iowa,,https://byucougars.com/sports/baseball/roster/player/sam-hart,
byu,BYU,16,Wayland Crane,Left Hand Pitcher,,,6-0,,Senior,"Delta, Utah",Utah Valley University,,https://byucougars.com/sports/baseball/roster/player/wayland-crane,
byu,BYU,17,Easton Jones,Infielder,R,R,6-3,,Senior,"American Fork, Utah",American Fork High School,,https://byucougars.com/sports/baseball/roster/player/easton-jones,
byu,BYU,18,Bridger Davies,Outfielder/Infielder,,,6-5,,Freshman,"Draper, Utah",Corner Canyon,,https://byucougars.com/sports/baseball/roster/player/bridger-davies,
byu,BYU,21,Nate Gray,Right Hand Pitcher,,,6-6,,Junior,"Queen Creek, Arizona",Pima Community College,,https://byucougars.com/sports/baseball/roster/player/nate-gray,
byu,BYU,22,Tu'alau Wolfgramm,Catcher/Outfielder,R,R,5-10,,Sophomore,"Pleasant Grove, Utah",Pleasant Grove High School,,https://byucougars.com/sports/baseball/roster/player/tualau-wolfgramm,
byu,BYU,23,Jaxon Clayton,Right Hand Pitcher,,,6-1,,Freshman,"Milwaukee, Wisconsin",Brookfield Central HS,,https://byucougars.com/sports/baseball/roster/player/jaxon-clayton,
byu,BYU,24,Brayden Marx,Right Hand Pitcher,,,6-0,,Junior,"Pleasant Grove, Utah",Hawaii,,https://byucougars.com/sports/baseball/roster/player/brayden-marx,
byu,BYU,25,Luke Sterner,Right Hand Pitcher,,,6-2,,Senior,"Laguna Niguel, California",Dana Hills High School,,https://byucougars.com/sports/baseball/roster/player/luke-sterner,
byu,BYU,26,Cooper Jones,Infielder,,,6-1,,Freshman,"American Fork, Utah",American Fork,,https://byucougars.com/sports/baseball/roster/player/cooper-jones-bsb,
byu,BYU,28,Justis Reiser,Left Hand Pitcher,,,6-1,,RS-Junior,"South Jordan, Utah",Bingham High School,,https://byucougars.com/sports/baseball/roster/player/justis-reiser,
byu,BYU,29,Ridge Erickson,Catcher,R,R,5-11,,Sophomore,"St. George, Utah",Dixie High School,,https://byucougars.com/sports/baseball/roster/player/ridge-erickson,
byu,BYU,30,Brock Snow,Left Hand Pitcher,,,6-1,,RS-Sophomore,"Mesa, Arizona",Southern Idaho,,https://byucougars.com/sports/baseball/roster/player/brock-snow,
byu,BYU,31,Nate Keyes,Outfielder,,,6-2,,Freshman,"Laas Vegas, Nevada",Faith Lutheran,,https://byucougars.com/sports/baseball/roster/player/nate-keyes,
byu,BYU,32,Dan Brousseau,Right Hand Pitcher,,,6-5,,Junior,"Murray, Utah",Salt Lake CC,,https://byucougars.com/sports/baseball/roster/player/dan-brousseau,
byu,BYU,33,Ethan Zufall,Right Hand Pitcher,,,6-1,,Freshman,"Broomfield, Colorado",Broomfield HS,,https://byucougars.com/sports/baseball/roster/player/ethan-zufall,
byu,BYU,34,Rockwell Lybbert,Right Hand Pitcher,,,6-4,,RS-Sophomore,"Davis, California",Davis Senior HS,,https://byucougars.com/sports/baseball/roster/player/rockwell-lybbert,
byu,BYU,35,Ezra McNaughton,Infielder,L,R,5-11,,Sophomore,"Mesa, Arizona",Mountain View High School,,https://byucougars.com/sports/baseball/roster/player/ezra-mcnaughton,
byu,BYU,37,Garrison Sumner,Right Hand Pitcher,,,6-3,,Senior,"Eagle Mountain, Utah",Salt Lake Community College,,https://byucougars.com/sports/baseball/roster/player/garrison-sumner,
byu,BYU,39,Bryant Ball,Catcher/Right Hand Pitcher,R,R,5-10,,RS-Junior,"Highland, Utah",Skyridge HS,,https://byucougars.com/sports/baseball/roster/player/bryant-ball,
byu,BYU,41,Tyler Ball,Right Hand Pitcher,,,6-1,,Freshman,"Highland, Utah",Skyridge HS,,https://byucougars.com/sports/baseball/roster/player/tyler-ball,
byu,BYU,44,Cayson Bell,Right Hand Pitcher,,,6-1,,RS-Sophomore,"St. George, Utah",Dixie High School,,https://byucougars.com/sports/baseball/roster/player/cayson-bell,
byu,BYU,50,Blade Paragas,Right Hand Pitcher,,,5-11,,RS-Freshman,"Makaha, Hawaii",Kamehameha Schools Kapalama,,https://byucougars.com/sports/baseball/roster/player/blade-paragas,
byu,BYU,51,Ashton Johnson,Left Hand Pitcher,,,5-11,,Senior,"Holladay, Utah",College of Southern Idaho,,https://byucougars.com/sports/baseball/roster/player/ashton-johnson-1,
byu,BYU,55,Nate Wochner,Right Hand Pitcher,,,6-4,,Freshman,"Arvada, Colorado",Broomfield,,https://byucougars.com/sports/baseball/roster/player/nate-wochner-bsb,
uvu,Utah Valley,0,Will Applegate,INF,L,R,6-2,185,Jr.,"Charleston, Ill.",Charleston HS,Parkland,https://gouvu.com/sports/baseball/roster/will-applegate/11273,headshots/uvu_will-applegate.png
uvu,Utah Valley,1,Liwai Correa,INF,R,R,5-11,180,R-Fr.,"Keaau, Hawaii",Kamehameha Schools Hawaii,,https://gouvu.com/sports/baseball/roster/liwai-correa/11254,headshots/uvu_liwai-correa.png
uvu,Utah Valley,2,Cooper Brass,INF,R,R,5-10,170,R-So.,"Chandler, Ariz.",Hamilton HS,New Mexico,https://gouvu.com/sports/baseball/roster/cooper-brass/11274,headshots/uvu_cooper-brass.png
uvu,Utah Valley,3,Jimmy De Anda,OF,R,R,5-9,185,Sr.,"Yorba Linda, Calif.",Mater Dei HS,Santa Ana,https://gouvu.com/sports/baseball/roster/jimmy-de-anda/11255,headshots/uvu_jimmy-de-anda.png
uvu,Utah Valley,4,Mason Strong,C,R,R,6-1,190,R-Sr.,"Santa Clara, UT",,BYU / Oklahoma,https://gouvu.com/sports/baseball/roster/mason-strong/11270,headshots/uvu_mason-strong.png
uvu,Utah Valley,5,Kaden Carpenter,OF,L,R,6-4,225,Sr.,"American Fork, Utah",American Fork HS,Utah,https://gouvu.com/sports/baseball/roster/kaden-carpenter/11275,headshots/uvu_kaden-carpenter.png
uvu,Utah Valley,6,Trenton Rowan,INF,L,R,6-3,215,R-Jr.,"Erie, Colo.",Erie HS,Seward County CC / Arkansas,https://gouvu.com/sports/baseball/roster/trenton-rowan/11267,headshots/uvu_trenton-rowan.png
uvu,Utah Valley,7,Hunter Katschke,UTL,R,R,6-3,220,Sr.,"Las Vegas, Nev.",Basic HS,Utah Tech,https://gouvu.com/sports/baseball/roster/hunter-katschke/11290,headshots/uvu_hunter-katschke.png
uvu,Utah Valley,8,Chipper Beck,INF,,,6-1,200,Sr.,"Highland, Utah",Lone Peak HS,SLCC / BYU,https://gouvu.com/sports/baseball/roster/chipper-beck/11276,headshots/uvu_chipper-beck.png
uvu,Utah Valley,9,Luke Iverson,C/OF,S,R,6-0,185,Sr.,"St. George, Utah",Pine View HS,,https://gouvu.com/sports/baseball/roster/luke-iverson/11259,headshots/uvu_luke-iverson.png
uvu,Utah Valley,10,Brody Block,OF,L,L,5-9,175,Sr.,"Visalia, Calif.",Redwood HS,Reedley College,https://gouvu.com/sports/baseball/roster/brody-block/11252,headshots/uvu_brody-block.png
uvu,Utah Valley,11,Colton Kennedy,RHP,R,R,6-0,195,Sr.,"Kirkland, Wash.",Lake Washington HS,,https://gouvu.com/sports/baseball/roster/colton-kennedy/11260,headshots/uvu_colton-kennedy.png
